"VIN (1-10)","County","City","State","Postal Code","Model Year","Make","Model","Electric Vehicle Type","Clean Alternative Fuel Vehicle (CAFV) Eligibility","Electric Range","DOL Vehicle ID","Electric Utility"
"PSE0000001","Snohomish","Bellevue","WA","98004","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","221","100001","PUGET SOUND ENERGY||CITY OF TACOMA - (WA)"
"PSE0000002","King","Everett","WA","98201","2018","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","222","100002","PUGET SOUND ENERGY||CITY OF TACOMA - (WA)"
"PSE0000003","Snohomish","Seattle","WA","98101","2018","FORD","MUSTANG MACH-E","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","223","100003","PUGET SOUND ENERGY||CITY OF TACOMA - (WA)"
"PSE0000004","King","Bellevue","WA","98004","2018","KIA","EV6","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","32","100004","PUGET SOUND ENERGY||CITY OF TACOMA - (WA)"
"PSE0000005","Snohomish","Everett","WA","98201","2018","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","225","100005","PUGET SOUND ENERGY"
"PSE0000006","King","Seattle","WA","98101","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","226","100006","PUGET SOUND ENERGY"
"PSE0000007","Snohomish","Bellevue","WA","98004","2018","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","227","100007","PUGET SOUND ENERGY"
"PSE0000008","King","Everett","WA","98201","2018","FORD","MUSTANG MACH-E","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","36","100008","PUGET SOUND ENERGY"
"PSE0000009","Snohomish","Seattle","WA","98101","2018","KIA","EV6","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","229","100009","PUGET SOUND ENERGY"
"PSE0000010","King","Bellevue","WA","98004","2018","CHEVROLET","VOLT","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","230","100010","PUGET SOUND ENERGY"
