growth_rank,Utility Standardized,total_ev_count,bev_count,bev_share,phev_count,phev_share,recent_model_year_count,recent_model_year_share,average_electric_range,median_electric_range,average_positive_electric_range,median_positive_electric_range,min_model_year,median_model_year,max_model_year,county_count,city_count,growth_rank_score
1,BONNEVILLE POWER ADMINISTRATION | CITY OF CENTRALIA - (WA) | CITY OF TACOMA - (WA),315,124,0.39365079365079364,191,0.6063492063492063,231,0.7333333333333333,38.08253968253968,32.0,52.38427947598253,32.0,2011,2023.0,2026,1,1,0.7333333333333333
2,CITY OF TACOMA - (WA) | TANNER ELECTRIC COOP,388,335,0.8634020618556701,53,0.13659793814432988,284,0.7319587628865979,34.88917525773196,0.0,123.06363636363636,75.0,2013,2023.0,2026,1,4,0.7319587628865979
3,PUGET SOUND ENERGY INC | CITY OF TACOMA - (WA),98542,81377,0.8258103143837145,17165,0.17418968561628545,72109,0.7317590469038583,37.101888592334,0.0,113.8013758326589,53.0,2008,2023.0,2026,4,76,0.7317590469038583
4,BONNEVILLE POWER ADMINISTRATION | VERA IRRIGATION DISTRICT #15,615,347,0.5642276422764227,268,0.43577235772357725,448,0.7284552845528456,34.63414634146341,21.0,63.01775147928994,32.0,2008,2023.0,2026,1,2,0.7284552845528456
5,BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | INLAND POWER & LIGHT COMPANY,4727,3448,0.7294266976940977,1279,0.27057330230590226,3316,0.7015020097313307,36.26084197165221,0.0,88.94914374675662,38.0,2010,2023.0,2026,3,41,0.7015020097313307
6,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | PUD NO 1 OF MASON COUNTY,194,145,0.7474226804123711,49,0.25257731958762886,136,0.7010309278350515,36.02577319587629,0.0,95.73972602739725,38.0,2012,2023.0,2026,1,5,0.7010309278350515
7,PUD NO 1 OF PEND OREILLE COUNTY,102,78,0.7647058823529411,24,0.23529411764705882,71,0.696078431372549,36.049019607843135,0.0,96.76315789473684,38.5,2011,2023.0,2026,1,6,0.696078431372549
8,PUGET SOUND ENERGY INC,58233,47307,0.8123744268713616,10926,0.1876255731286384,40389,0.6935758075318118,38.4405138068416,0.0,109.49801888176881,53.0,2000,2023.0,2026,6,79,0.6935758075318118
9,BONNEVILLE POWER ADMINISTRATION | CITY OF RICHLAND - (WA),1615,1185,0.7337461300309598,430,0.26625386996904027,1115,0.6904024767801857,43.73250773993808,0.0,102.65697674418605,42.0,2011,2023.0,2026,1,2,0.6904024767801857
10,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF CLARK COUNTY - (WA),16614,12621,0.7596605272661611,3993,0.24033947273383893,11332,0.6820753581316962,39.47384578342262,0.0,98.36193190340482,42.0,2011,2023.0,2026,2,10,0.6820753581316962
11,PUD NO 1 OF DOUGLAS COUNTY,608,483,0.7944078947368421,125,0.20559210526315788,413,0.6792763157894737,45.3766447368421,0.0,115.43514644351464,53.0,2012,2023.0,2026,1,12,0.6792763157894737
12,PUD NO 1 OF CHELAN COUNTY,1759,1418,0.8061398521887436,341,0.1938601478112564,1194,0.6787947697555429,44.98465036952814,0.0,117.92548435171386,72.0,2011,2023.0,2026,1,12,0.6787947697555429
13,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | ELMHURST MUTUAL POWER & LIGHT CO | PENINSULA LIGHT COMPANY,861,691,0.8025551684088269,170,0.19744483159117304,584,0.6782810685249709,39.39256678281068,0.0,107.33227848101266,53.0,2011,2023.0,2026,1,5,0.6782810685249709
14,AVISTA CORP,671,450,0.6706408345752608,221,0.3293591654247392,455,0.6780923994038748,37.9806259314456,0.0,80.39432176656152,42.0,2011,2023.0,2026,6,31,0.6780923994038748
15,BONNEVILLE POWER ADMINISTRATION | PACIFICORP | PUD NO 1 OF CLARK COUNTY - (WA),391,314,0.80306905370844,77,0.1969309462915601,263,0.6726342710997443,42.65217391304348,0.0,115.8125,53.0,2013,2023.0,2026,1,2,0.6726342710997443
16,CITY OF SEATTLE - (WA) | CITY OF TACOMA - (WA),45996,36933,0.8029611270545265,9063,0.1970388729454735,30854,0.6707974606487521,40.23750407653006,0.0,106.72533302577706,54.0,2000,2023.0,2026,1,8,0.6707974606487521
17,BONNEVILLE POWER ADMINISTRATION | INLAND POWER & LIGHT COMPANY,595,426,0.7159663865546219,169,0.28403361344537814,399,0.6705882352941176,42.387205387205384,0.0,96.83846153846154,38.0,2011,2023.0,2026,3,11,0.6705882352941176
18,MODERN ELECTRIC WATER COMPANY,1915,1400,0.7310704960835509,515,0.2689295039164491,1281,0.6689295039164491,39.16971279373368,0.0,91.14216281895504,40.0,2011,2023.0,2026,1,1,0.6689295039164491
19,PUD NO 2 OF GRANT COUNTY,1108,814,0.7346570397111913,294,0.26534296028880866,741,0.6687725631768953,41.67238267148014,0.0,98.4498933901919,38.0,2011,2023.0,2026,1,16,0.6687725631768953
20,BONNEVILLE POWER ADMINISTRATION | PUD NO 2 OF PACIFIC COUNTY,349,217,0.6217765042979942,132,0.37822349570200575,232,0.664756446991404,39.40687679083094,14.0,76.40555555555555,38.0,2011,2023.0,2026,1,21,0.664756446991404
21,BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | PUD NO 1 OF ASOTIN COUNTY,110,77,0.7,33,0.3,73,0.6636363636363637,43.49090909090909,0.0,93.80392156862744,42.0,2012,2023.0,2026,1,2,0.6636363636363637
22,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | PENINSULA LIGHT COMPANY,12590,9728,0.7726767275615568,2862,0.22732327243844322,8340,0.6624305003971406,41.30097704345063,0.0,103.44966175885396,42.0,1999,2023.0,2026,2,22,0.6624305003971406
23,NON WASHINGTON STATE ELECTRIC UTILITY,672,498,0.7410714285714286,174,0.25892857142857145,445,0.6622023809523809,41.40327380952381,0.0,100.44404332129965,37.0,2011,2023.0,2026,218,413,0.6622023809523809
24,BONNEVILLE POWER ADMINISTRATION | PUD 1 OF SNOHOMISH COUNTY,2632,2097,0.7967325227963525,535,0.2032674772036474,1740,0.6610942249240122,43.452127659574465,0.0,114.1377245508982,53.0,2011,2023.0,2026,2,13,0.6610942249240122
25,CITY OF BLAINE - (WA) | PUD NO 1 OF WHATCOM COUNTY,302,251,0.8311258278145696,51,0.16887417218543047,199,0.6589403973509934,47.81456953642384,0.0,127.78761061946902,84.0,2011,2023.0,2026,1,1,0.6589403973509934
26,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF KLICKITAT COUNTY,485,357,0.7360824742268042,128,0.2639175257731959,317,0.6536082474226804,45.95463917525773,0.0,105.13207547169812,42.0,2011,2023.0,2026,1,23,0.6536082474226804
27,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF COWLITZ COUNTY,1467,1112,0.7580095432856169,355,0.2419904567143831,958,0.6530334014996592,43.104976141785954,0.0,106.0989932885906,42.0,2011,2023.0,2026,1,12,0.6530334014996592
28,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | LAKEVIEW LIGHT & POWER | PENINSULA LIGHT COMPANY,321,237,0.7383177570093458,84,0.2616822429906542,209,0.6510903426791277,35.95015576323988,0.0,85.48148148148148,34.0,2011,2023.0,2026,1,3,0.6510903426791277
29,BONNEVILLE POWER ADMINISTRATION | CITY OF MILTON - (WA) | CITY OF TACOMA - (WA),163,131,0.803680981595092,32,0.19631901840490798,106,0.6503067484662577,41.38036809815951,0.0,105.390625,57.5,2012,2023.0,2026,2,4,0.6503067484662577
30,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | PUD NO 3 OF MASON COUNTY,1211,915,0.7555739058629232,296,0.2444260941370768,786,0.6490503715937241,47.04459124690339,0.0,109.77071290944123,42.0,2011,2023.0,2026,1,12,0.6490503715937241
31,BONNEVILLE POWER ADMINISTRATION | CITY OF ELLENSBURG - (WA),230,181,0.7869565217391304,49,0.21304347826086956,149,0.6478260869565218,41.84347826086957,0.0,111.90697674418605,53.0,2012,2023.0,2026,1,1,0.6478260869565218
32,"OKANOGAN COUNTY ELEC COOP, INC",235,176,0.7489361702127659,59,0.251063829787234,152,0.6468085106382979,53.94468085106383,0.0,124.2843137254902,42.0,2011,2023.0,2026,1,4,0.6468085106382979
33,"BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | BIG BEND ELECTRIC COOP, INC",107,81,0.7570093457943925,26,0.24299065420560748,69,0.6448598130841121,52.19626168224299,0.0,116.35416666666667,50.5,2011,2023.0,2026,2,2,0.6448598130841121
34,"BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | OHOP MUTUAL LIGHT COMPANY, INC | PENINSULA LIGHT COMPANY",209,151,0.722488038277512,58,0.27751196172248804,134,0.6411483253588517,41.20574162679426,0.0,91.61702127659575,38.0,2011,2023.0,2026,1,3,0.6411483253588517
35,PUD NO 1 OF OKANOGAN COUNTY,168,107,0.6369047619047619,61,0.3630952380952381,107,0.6369047619047619,34.095238095238095,0.0,70.71604938271605,38.0,2011,2023.0,2026,1,13,0.6369047619047619
