Utility Standardized,Model Year Cohort,cohort_count,utility_total,cohort_share
AVISTA CORP,2014 and earlier,43,671,0.06408345752608048
AVISTA CORP,2015-2017,45,671,0.06706408345752608
AVISTA CORP,2018-2020,86,671,0.12816691505216096
AVISTA CORP,2021-2023,248,671,0.36959761549925485
AVISTA CORP,2024+,249,671,0.3710879284649776
"BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | BIG BEND ELECTRIC COOP, INC",2014 and earlier,7,107,0.06542056074766354
"BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | BIG BEND ELECTRIC COOP, INC",2015-2017,7,107,0.06542056074766354
"BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | BIG BEND ELECTRIC COOP, INC",2018-2020,18,107,0.16822429906542055
"BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | BIG BEND ELECTRIC COOP, INC",2021-2023,36,107,0.3364485981308411
"BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | BIG BEND ELECTRIC COOP, INC",2024+,39,107,0.3644859813084112
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | INLAND POWER & LIGHT COMPANY,2014 and earlier,182,4727,0.03850222128199704
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | INLAND POWER & LIGHT COMPANY,2015-2017,335,4727,0.0708694732388407
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | INLAND POWER & LIGHT COMPANY,2018-2020,550,4727,0.11635286651152951
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | INLAND POWER & LIGHT COMPANY,2021-2023,1791,4727,0.378887243494817
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | INLAND POWER & LIGHT COMPANY,2024+,1869,4727,0.39538819547281573
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | PUD NO 1 OF ASOTIN COUNTY,2014 and earlier,6,110,0.05454545454545454
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | PUD NO 1 OF ASOTIN COUNTY,2015-2017,8,110,0.07272727272727272
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | PUD NO 1 OF ASOTIN COUNTY,2018-2020,14,110,0.12727272727272726
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | PUD NO 1 OF ASOTIN COUNTY,2021-2023,46,110,0.41818181818181815
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | PUD NO 1 OF ASOTIN COUNTY,2024+,36,110,0.32727272727272727
BONNEVILLE POWER ADMINISTRATION | BENTON RURAL ELECTRIC ASSN,2014 and earlier,1,4,0.25
BONNEVILLE POWER ADMINISTRATION | BENTON RURAL ELECTRIC ASSN,2015-2017,0,4,0.0
BONNEVILLE POWER ADMINISTRATION | BENTON RURAL ELECTRIC ASSN,2018-2020,0,4,0.0
BONNEVILLE POWER ADMINISTRATION | BENTON RURAL ELECTRIC ASSN,2021-2023,2,4,0.5
BONNEVILLE POWER ADMINISTRATION | BENTON RURAL ELECTRIC ASSN,2024+,1,4,0.25
"BONNEVILLE POWER ADMINISTRATION | BIG BEND ELECTRIC COOP, INC",2014 and earlier,3,70,0.04285714285714286
"BONNEVILLE POWER ADMINISTRATION | BIG BEND ELECTRIC COOP, INC",2015-2017,4,70,0.05714285714285714
"BONNEVILLE POWER ADMINISTRATION | BIG BEND ELECTRIC COOP, INC",2018-2020,18,70,0.2571428571428571
"BONNEVILLE POWER ADMINISTRATION | BIG BEND ELECTRIC COOP, INC",2021-2023,26,70,0.37142857142857144
"BONNEVILLE POWER ADMINISTRATION | BIG BEND ELECTRIC COOP, INC",2024+,19,70,0.2714285714285714
BONNEVILLE POWER ADMINISTRATION | CITY OF CENTRALIA - (WA) | CITY OF TACOMA - (WA),2014 and earlier,13,315,0.04126984126984127
BONNEVILLE POWER ADMINISTRATION | CITY OF CENTRALIA - (WA) | CITY OF TACOMA - (WA),2015-2017,31,315,0.09841269841269841
BONNEVILLE POWER ADMINISTRATION | CITY OF CENTRALIA - (WA) | CITY OF TACOMA - (WA),2018-2020,23,315,0.07301587301587302
BONNEVILLE POWER ADMINISTRATION | CITY OF CENTRALIA - (WA) | CITY OF TACOMA - (WA),2021-2023,102,315,0.3238095238095238
BONNEVILLE POWER ADMINISTRATION | CITY OF CENTRALIA - (WA) | CITY OF TACOMA - (WA),2024+,146,315,0.4634920634920635
BONNEVILLE POWER ADMINISTRATION | CITY OF COULEE DAM - (WA),2014 and earlier,0,11,0.0
BONNEVILLE POWER ADMINISTRATION | CITY OF COULEE DAM - (WA),2015-2017,1,11,0.09090909090909091
BONNEVILLE POWER ADMINISTRATION | CITY OF COULEE DAM - (WA),2018-2020,3,11,0.2727272727272727
BONNEVILLE POWER ADMINISTRATION | CITY OF COULEE DAM - (WA),2021-2023,5,11,0.45454545454545453
BONNEVILLE POWER ADMINISTRATION | CITY OF COULEE DAM - (WA),2024+,2,11,0.18181818181818182
BONNEVILLE POWER ADMINISTRATION | CITY OF ELLENSBURG - (WA),2014 and earlier,7,230,0.030434782608695653
BONNEVILLE POWER ADMINISTRATION | CITY OF ELLENSBURG - (WA),2015-2017,15,230,0.06521739130434782
BONNEVILLE POWER ADMINISTRATION | CITY OF ELLENSBURG - (WA),2018-2020,35,230,0.15217391304347827
BONNEVILLE POWER ADMINISTRATION | CITY OF ELLENSBURG - (WA),2021-2023,100,230,0.43478260869565216
BONNEVILLE POWER ADMINISTRATION | CITY OF ELLENSBURG - (WA),2024+,73,230,0.3173913043478261
